,engine,score,ef0.1,ef1,ef10,ef1_perc,ef2,ef5,mse,rk,rk_active,rk_inactive,roc_auc,roc_log_auc,rp,rp_active,rp_inactive,rs,rs_active,rs_inactive
0,dock,chemscore,9.21364825796,6.49198660261,2.7083764666,0.0734529611738,5.31798790046,3.54889437602,1361.07864613,-0.052362801511,0.0251397333197,,0.679353170237,0.260274698853,-0.0591252558453,0.0330108500854,4.19243674367e-17,-0.0643007044374,0.0360809866987,
1,dock,d_score,0.761991480871,2.19157418118,1.64089557668,0.0239921022571,1.99664516439,1.6732925453,13055.549698,-0.0171819583468,0.0204930435423,,0.563343699177,0.179868585078,-0.0166116996326,0.0394089122668,3.9500881661e-17,-0.021084029349,0.0289926085268,
2,dock,g_score,3.88497080233,2.90765848317,2.00460899685,0.0314625061998,2.91896398253,2.27989223149,72271.7695444,-0.0296091650161,0.00434825781556,,0.604304867781,0.205625471136,-0.0334404361741,0.00611649495646,-2.35985002958e-17,-0.0363572178908,0.00129756932085,
3,dock,native,3.56546156348,2.96376137843,2.07222624968,0.0323245184686,2.50054876414,2.45084153956,3599.370206,-0.0363681036133,-0.0256682719978,,0.624030920387,0.212020751634,-0.0395927062243,-0.0236674618443,-8.21921173572e-19,-0.0446644864904,-0.0350259414167,
4,dock,pmf_score,9.24306102302,5.24438370643,3.03489464947,0.0529525296892,4.09961774582,3.82667339998,5452.77221974,-0.0553646294749,-0.0390012594482,,0.691424195032,0.266451612455,-0.0668576790039,-0.0433961336657,-2.17369341865e-17,-0.0679950263828,-0.0520262603558,
5,dude,chemscore,17.3355733078,11.6488795934,4.08470199772,0.195150833581,8.74496395728,5.77897656546,916.06438544,-0.091839236865,0.0338505485953,,0.754174243985,0.341979855303,-0.113708909092,0.053466845902,-5.66796636073e-17,-0.112916973339,0.0482586769139,
6,dude,d_score,1.80739694524,2.42990971032,1.56361057622,0.0498879700298,2.39836160437,1.92031971653,69637.8007223,-0.00754417564181,0.03785423252,,0.512769992959,0.170570884465,0.00400034472411,0.0361485077839,-3.03754951314e-17,-0.00933238156599,0.0532364063869,
7,dude,g_score,6.28538878766,5.02749434438,2.95860840022,0.09164958406,4.58353827644,3.75201129248,32464.3371914,-0.0578763229059,0.000201264263894,,0.658816502179,0.258264931015,-0.0629618656376,-0.00415143016848,1.39887715561e-17,-0.0711702160539,-0.00268154085009,
8,dude,native,32.9311286032,18.0111631805,4.94618593486,0.294766054478,13.0091787283,7.66913018568,54466.6044437,-0.101825110512,-0.0150012470259,,0.786032380859,0.408906142577,-0.0956240085296,-0.0163358351584,6.11946220488e-18,-0.125157390536,-0.021378111487,
9,dude,pmf_score,11.5931908484,7.70529968716,3.12892308944,0.123529189104,5.76795005867,4.18020587061,3609.11618015,-0.0750938674442,-0.0234830951728,,0.707811965261,0.287376748359,-0.089899265259,-0.0374706375237,3.78481467473e-17,-0.0923364519455,-0.0352629116501,
10,vina,chemscore,11.4802205354,7.40009218236,3.04842210528,0.197216421761,6.27573976966,4.34288118838,1326.29446597,-0.0759570524281,0.0273724189799,,0.698731761987,0.285952381942,-0.0975600765409,0.0336515659581,3.88960582025e-17,-0.0936142548395,0.0397738996656,
11,vina,d_score,2.70925745523,2.78555424031,1.4337474179,0.102263168391,2.31867958274,1.75319807987,51269.5187676,-0.0215358506865,0.025401931106,,0.544905027772,0.177818445178,-0.014461423813,0.0397818463346,6.51939879434e-18,-0.0265955403772,0.0338380260397,
12,vina,g_score,3.66301138389,3.28487936182,2.18845903511,0.105036255798,2.82681187324,2.41698966479,52915.6561039,-0.0461771886048,-0.0179337819669,,0.622667969256,0.219113036075,-0.0533240891471,-0.021426104794,-8.82239601581e-17,-0.0564572583695,-0.0274810856548,
13,vina,native,14.0757257443,6.16525647993,3.26109681551,0.090252903559,5.32499380249,4.25332339251,200.937671534,-0.0722457952366,0.0442659993193,,0.717491894212,0.28604254009,-0.0769034513697,0.0558440880637,-1.09230728585e-16,-0.0887773760579,0.0653968755142,
